A,B
"(6.079, 8.192]","(8.6, 9.1]"
"(9.206, 10.416]","(8.0, 8.6]"
"(8.192, 9.206]","(8.6, 9.1]"
"(9.206, 10.416]","(8.0, 8.6]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(10.416, 11.894]","(8.6, 9.1]"
"(8.192, 9.206]","(8.6, 9.1]"
"(8.192, 9.206]","(8.6, 9.1]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(11.894, 14.95]","(7.16, 8.0]"
"(9.206, 10.416]","(7.16, 8.0]"
"(9.206, 10.416]","(8.0, 8.6]"
"(9.206, 10.416]","(7.16, 8.0]"
"(8.192, 9.206]","(9.1, 10.8]"
"(9.206, 10.416]","(8.6, 9.1]"
"(11.894, 14.95]","(7.16, 8.0]"
"(11.894, 14.95]","(7.16, 8.0]"
"(9.206, 10.416]","(-4.801, 7.16]"
"(11.894, 14.95]","(8.6, 9.1]"
"(8.192, 9.206]","(8.6, 9.1]"
"(8.192, 9.206]","(9.1, 10.8]"
"(6.079, 8.192]","(7.16, 8.0]"
"(8.192, 9.206]","(7.16, 8.0]"
"(11.894, 14.95]","(8.0, 8.6]"
"(8.192, 9.206]","(-4.801, 7.16]"
"(11.894, 14.95]","(8.6, 9.1]"
"(8.192, 9.206]","(8.0, 8.6]"
"(8.192, 9.206]","(-4.801, 7.16]"
"(6.079, 8.192]","(9.1, 10.8]"
"(6.079, 8.192]","(9.1, 10.8]"
"(9.206, 10.416]","(8.6, 9.1]"
"(10.416, 11.894]","(8.0, 8.6]"
"(9.206, 10.416]","(7.16, 8.0]"
"(6.079, 8.192]","(9.1, 10.8]"
"(6.079, 8.192]","(8.6, 9.1]"
"(6.079, 8.192]","(8.6, 9.1]"
"(6.079, 8.192]","(8.0, 8.6]"
"(9.206, 10.416]","(-4.801, 7.16]"
"(8.192, 9.206]","(-4.801, 7.16]"
"(10.416, 11.894]","(7.16, 8.0]"
"(9.206, 10.416]","(8.0, 8.6]"
"(10.416, 11.894]","(7.16, 8.0]"
"(9.206, 10.416]","(8.6, 9.1]"
"(10.416, 11.894]","(8.0, 8.6]"
"(6.079, 8.192]","(9.1, 10.8]"
"(6.079, 8.192]","(9.1, 10.8]"
"(6.079, 8.192]","(-4.801, 7.16]"
"(11.894, 14.95]","(-4.801, 7.16]"
"(9.206, 10.416]","(8.0, 8.6]"
"(8.192, 9.206]","(9.1, 10.8]"
"(8.192, 9.206]","(9.1, 10.8]"
"(11.894, 14.95]","(8.6, 9.1]"
"(6.079, 8.192]","(8.6, 9.1]"
"(9.206, 10.416]","(8.0, 8.6]"
"(8.192, 9.206]","(-4.801, 7.16]"
"(8.192, 9.206]","(-4.801, 7.16]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(9.206, 10.416]","(8.6, 9.1]"
"(6.079, 8.192]","(8.6, 9.1]"
"(9.206, 10.416]","(7.16, 8.0]"
"(10.416, 11.894]","(8.0, 8.6]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(6.079, 8.192]","(9.1, 10.8]"
"(11.894, 14.95]","(8.0, 8.6]"
"(11.894, 14.95]","(7.16, 8.0]"
"(8.192, 9.206]","(9.1, 10.8]"
"(8.192, 9.206]","(8.6, 9.1]"
"(9.206, 10.416]","(8.0, 8.6]"
"(11.894, 14.95]","(8.0, 8.6]"
"(9.206, 10.416]","(8.6, 9.1]"
"(11.894, 14.95]","(8.0, 8.6]"
"(10.416, 11.894]","(8.0, 8.6]"
"(11.894, 14.95]","(8.0, 8.6]"
"(11.894, 14.95]","(7.16, 8.0]"
"(8.192, 9.206]","(8.6, 9.1]"
"(11.894, 14.95]","(-4.801, 7.16]"
"(11.894, 14.95]","(7.16, 8.0]"
"(9.206, 10.416]","(7.16, 8.0]"
"(9.206, 10.416]","(-4.801, 7.16]"
"(11.894, 14.95]","(8.6, 9.1]"
"(9.206, 10.416]","(8.0, 8.6]"
"(9.206, 10.416]","(9.1, 10.8]"
"(9.206, 10.416]","(8.6, 9.1]"
"(9.206, 10.416]","(8.6, 9.1]"
"(10.416, 11.894]","(8.0, 8.6]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(8.192, 9.206]","(9.1, 10.8]"
"(9.206, 10.416]","(-4.801, 7.16]"
"(6.079, 8.192]","(7.16, 8.0]"
"(6.079, 8.192]","(8.6, 9.1]"
"(10.416, 11.894]","(8.6, 9.1]"
"(8.192, 9.206]","(8.0, 8.6]"
"(8.192, 9.206]","(9.1, 10.8]"
"(8.192, 9.206]","(8.0, 8.6]"
"(6.079, 8.192]","(-4.801, 7.16]"
"(9.206, 10.416]","(8.6, 9.1]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(6.079, 8.192]","(-4.801, 7.16]"
"(6.079, 8.192]","(-4.801, 7.16]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(9.206, 10.416]","(7.16, 8.0]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(9.206, 10.416]","(7.16, 8.0]"
"(9.206, 10.416]","(8.6, 9.1]"
"(9.206, 10.416]","(-4.801, 7.16]"
"(8.192, 9.206]","(-4.801, 7.16]"
"(10.416, 11.894]","(7.16, 8.0]"
"(8.192, 9.206]","(8.0, 8.6]"
"(8.192, 9.206]","(7.16, 8.0]"
"(9.206, 10.416]","(-4.801, 7.16]"
"(10.416, 11.894]","(9.1, 10.8]"
"(6.079, 8.192]","(8.0, 8.6]"
"(6.079, 8.192]","(9.1, 10.8]"
"(11.894, 14.95]","(8.6, 9.1]"
"(8.192, 9.206]","(-4.801, 7.16]"
"(6.079, 8.192]","(9.1, 10.8]"
"(6.079, 8.192]","(7.16, 8.0]"
"(9.206, 10.416]","(-4.801, 7.16]"
"(10.416, 11.894]","(7.16, 8.0]"
"(8.192, 9.206]","(9.1, 10.8]"
"(9.206, 10.416]","(8.0, 8.6]"
"(10.416, 11.894]","(7.16, 8.0]"
"(9.206, 10.416]","(-4.801, 7.16]"
"(9.206, 10.416]","(8.0, 8.6]"
"(9.206, 10.416]","(8.0, 8.6]"
"(9.206, 10.416]","(8.0, 8.6]"
"(8.192, 9.206]","(-4.801, 7.16]"
"(6.079, 8.192]","(9.1, 10.8]"
"(8.192, 9.206]","(-4.801, 7.16]"
"(6.079, 8.192]","(9.1, 10.8]"
"(8.192, 9.206]","(-4.801, 7.16]"
"(10.416, 11.894]","(7.16, 8.0]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(8.192, 9.206]","(9.1, 10.8]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(6.079, 8.192]","(9.1, 10.8]"
"(10.416, 11.894]","(7.16, 8.0]"
"(11.894, 14.95]","(8.0, 8.6]"
"(9.206, 10.416]","(-4.801, 7.16]"
"(6.079, 8.192]","(8.6, 9.1]"
"(10.416, 11.894]","(8.6, 9.1]"
"(10.416, 11.894]","(7.16, 8.0]"
"(10.416, 11.894]","(8.0, 8.6]"
"(8.192, 9.206]","(7.16, 8.0]"
"(9.206, 10.416]","(8.0, 8.6]"
"(11.894, 14.95]","(7.16, 8.0]"
"(9.206, 10.416]","(7.16, 8.0]"
"(11.894, 14.95]","(8.6, 9.1]"
"(11.894, 14.95]","(8.6, 9.1]"
"(9.206, 10.416]","(7.16, 8.0]"
"(8.192, 9.206]","(-4.801, 7.16]"
"(6.079, 8.192]","(9.1, 10.8]"
"(6.079, 8.192]","(8.6, 9.1]"
"(6.079, 8.192]","(9.1, 10.8]"
"(11.894, 14.95]","(8.0, 8.6]"
"(8.192, 9.206]","(9.1, 10.8]"
"(6.079, 8.192]","(9.1, 10.8]"
"(8.192, 9.206]","(8.6, 9.1]"
"(8.192, 9.206]","(9.1, 10.8]"
"(8.192, 9.206]","(8.0, 8.6]"
"(6.079, 8.192]","(8.6, 9.1]"
"(9.206, 10.416]","(8.0, 8.6]"
"(10.416, 11.894]","(8.0, 8.6]"
"(10.416, 11.894]","(8.0, 8.6]"
"(6.079, 8.192]","(7.16, 8.0]"
"(6.079, 8.192]","(9.1, 10.8]"
"(10.416, 11.894]","(8.6, 9.1]"
"(10.416, 11.894]","(8.6, 9.1]"
"(6.079, 8.192]","(7.16, 8.0]"
"(8.192, 9.206]","(9.1, 10.8]"
"(8.192, 9.206]","(8.6, 9.1]"
"(6.079, 8.192]","(-4.801, 7.16]"
"(9.206, 10.416]","(-4.801, 7.16]"
"(11.894, 14.95]","(7.16, 8.0]"
"(11.894, 14.95]","(7.16, 8.0]"
"(11.894, 14.95]","(7.16, 8.0]"
"(10.416, 11.894]","(8.0, 8.6]"
"(11.894, 14.95]","(7.16, 8.0]"
"(6.079, 8.192]","(9.1, 10.8]"
"(11.894, 14.95]","(8.0, 8.6]"
"(10.416, 11.894]","(8.0, 8.6]"
"(10.416, 11.894]","(7.16, 8.0]"
"(10.416, 11.894]","(8.6, 9.1]"
"(6.079, 8.192]","(9.1, 10.8]"
"(11.894, 14.95]","(7.16, 8.0]"
"(6.079, 8.192]","(9.1, 10.8]"
"(9.206, 10.416]","(7.16, 8.0]"
"(9.206, 10.416]","(8.0, 8.6]"
"(11.894, 14.95]","(8.0, 8.6]"
"(6.079, 8.192]","(9.1, 10.8]"
"(11.894, 14.95]","(7.16, 8.0]"
"(8.192, 9.206]","(8.6, 9.1]"
"(10.416, 11.894]","(7.16, 8.0]"
"(6.079, 8.192]","(8.6, 9.1]"
"(6.079, 8.192]","(-4.801, 7.16]"
"(10.416, 11.894]","(8.6, 9.1]"
"(9.206, 10.416]","(8.6, 9.1]"
"(11.894, 14.95]","(7.16, 8.0]"
"(9.206, 10.416]","(-4.801, 7.16]"
"(9.206, 10.416]","(8.6, 9.1]"
"(8.192, 9.206]","(9.1, 10.8]"
"(11.894, 14.95]","(8.0, 8.6]"
"(6.079, 8.192]","(8.6, 9.1]"
"(11.894, 14.95]","(7.16, 8.0]"
"(10.416, 11.894]","(7.16, 8.0]"
"(8.192, 9.206]","(8.6, 9.1]"
"(11.894, 14.95]","(7.16, 8.0]"
"(9.206, 10.416]","(8.0, 8.6]"
"(11.894, 14.95]","(8.6, 9.1]"
"(11.894, 14.95]","(7.16, 8.0]"
"(10.416, 11.894]","(8.6, 9.1]"
"(11.894, 14.95]","(-4.801, 7.16]"
"(6.079, 8.192]","(9.1, 10.8]"
"(11.894, 14.95]","(8.0, 8.6]"
"(11.894, 14.95]","(7.16, 8.0]"
"(11.894, 14.95]","(-4.801, 7.16]"
"(6.079, 8.192]","(9.1, 10.8]"
"(6.079, 8.192]","(9.1, 10.8]"
"(8.192, 9.206]","(9.1, 10.8]"
"(11.894, 14.95]","(8.0, 8.6]"
"(11.894, 14.95]","(8.0, 8.6]"
"(6.079, 8.192]","(8.6, 9.1]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(8.192, 9.206]","(7.16, 8.0]"
"(11.894, 14.95]","(-4.801, 7.16]"
"(6.079, 8.192]","(8.6, 9.1]"
"(6.079, 8.192]","(9.1, 10.8]"
"(10.416, 11.894]","(7.16, 8.0]"
"(8.192, 9.206]","(9.1, 10.8]"
"(6.079, 8.192]","(-4.801, 7.16]"
"(8.192, 9.206]","(8.0, 8.6]"
"(8.192, 9.206]","(9.1, 10.8]"
"(8.192, 9.206]","(8.0, 8.6]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(9.206, 10.416]","(7.16, 8.0]"
"(6.079, 8.192]","(9.1, 10.8]"
"(6.079, 8.192]","(-4.801, 7.16]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(8.192, 9.206]","(7.16, 8.0]"
"(11.894, 14.95]","(7.16, 8.0]"
"(8.192, 9.206]","(8.0, 8.6]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(9.206, 10.416]","(8.0, 8.6]"
"(10.416, 11.894]","(7.16, 8.0]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(10.416, 11.894]","(8.0, 8.6]"
"(10.416, 11.894]","(8.0, 8.6]"
"(9.206, 10.416]","(8.0, 8.6]"
"(11.894, 14.95]","(-4.801, 7.16]"
"(11.894, 14.95]","(7.16, 8.0]"
"(9.206, 10.416]","(8.0, 8.6]"
"(9.206, 10.416]","(7.16, 8.0]"
"(9.206, 10.416]","(8.6, 9.1]"
"(11.894, 14.95]","(8.6, 9.1]"
"(9.206, 10.416]","(-4.801, 7.16]"
"(11.894, 14.95]","(8.0, 8.6]"
"(8.192, 9.206]","(9.1, 10.8]"
"(8.192, 9.206]","(9.1, 10.8]"
"(8.192, 9.206]","(8.6, 9.1]"
"(10.416, 11.894]","(7.16, 8.0]"
"(11.894, 14.95]","(8.0, 8.6]"
"(11.894, 14.95]","(8.6, 9.1]"
"(6.079, 8.192]","(8.0, 8.6]"
"(6.079, 8.192]","(-4.801, 7.16]"
"(6.079, 8.192]","(-4.801, 7.16]"
"(6.079, 8.192]","(-4.801, 7.16]"
"(10.416, 11.894]","(7.16, 8.0]"
"(11.894, 14.95]","(8.6, 9.1]"
"(10.416, 11.894]","(8.0, 8.6]"
"(8.192, 9.206]","(-4.801, 7.16]"
"(6.079, 8.192]","(9.1, 10.8]"
"(6.079, 8.192]","(8.6, 9.1]"
"(8.192, 9.206]","(8.6, 9.1]"
"(10.416, 11.894]","(8.0, 8.6]"
"(9.206, 10.416]","(7.16, 8.0]"
"(9.206, 10.416]","(7.16, 8.0]"
"(10.416, 11.894]","(8.0, 8.6]"
"(10.416, 11.894]","(8.0, 8.6]"
"(8.192, 9.206]","(8.6, 9.1]"
"(6.079, 8.192]","(9.1, 10.8]"
"(9.206, 10.416]","(8.0, 8.6]"
"(8.192, 9.206]","(8.0, 8.6]"
"(11.894, 14.95]","(-4.801, 7.16]"
"(11.894, 14.95]","(8.0, 8.6]"
"(9.206, 10.416]","(-4.801, 7.16]"
"(11.894, 14.95]","(7.16, 8.0]"
"(10.416, 11.894]","(7.16, 8.0]"
"(6.079, 8.192]","(9.1, 10.8]"
"(6.079, 8.192]","(7.16, 8.0]"
"(9.206, 10.416]","(8.6, 9.1]"
"(9.206, 10.416]","(9.1, 10.8]"
"(10.416, 11.894]","(8.0, 8.6]"
"(11.894, 14.95]","(-4.801, 7.16]"
"(9.206, 10.416]","(8.6, 9.1]"
"(10.416, 11.894]","(8.0, 8.6]"
"(8.192, 9.206]","(9.1, 10.8]"
"(8.192, 9.206]","(7.16, 8.0]"
"(8.192, 9.206]","(-4.801, 7.16]"
"(8.192, 9.206]","(-4.801, 7.16]"
"(11.894, 14.95]","(8.6, 9.1]"
"(9.206, 10.416]","(8.6, 9.1]"
"(9.206, 10.416]","(7.16, 8.0]"
"(8.192, 9.206]","(9.1, 10.8]"
"(8.192, 9.206]","(8.0, 8.6]"
"(9.206, 10.416]","(8.6, 9.1]"
"(11.894, 14.95]","(-4.801, 7.16]"
"(10.416, 11.894]","(-4.801, 7.16]"
"(11.894, 14.95]","(-4.801, 7.16]"
